ID,SOC_TS,VIS_TS,HEA_TS,TOU_TS,BOD_TS,BAL_TS,PLA_TS,TOT_TS
178011,40,46,41,51,52,53,51,44
178013,56,60,72,58,52,44,51,58
178014,41,46,49,41,43,44,40,41
178016,41,62,49,65,43,57,56,56
178067,50,62,60,55,52,57,64,56
178068,56,40,41,55,61,53,54,51
178069,22,40,41,55,43,57,60,44
198001,72,58,60,63,52,44,54,55
198002,41,55,53,42,43,44,54,47
198003,40,46,57,51,52,57,54,50
198004,44,50,52,51,49,53,56,54
198005,52,43,55,47,49,40,56,45
198006,44,62,49,40,61,57,58,52
198007,41,47,40,43,40,40,52,40
198008,60,46,67,61,43,67,71,59
198009,40,40,41,51,43,44,40,41
214002,56,58,60,58,63,67,56,60
214003,60,60,49,55,57,44,66,53
214017,54,58,57,51,63,64,64,58
214021,45,66,67,63,55,57,48,62
214024,55,47,52,47,49,40,40,45
215014,75,70,75,74,73,73,80,73
216001,41,55,49,54,45,53,62,50
216003,45,40,49,42,55,52,56,47
216004,53,64,67,58,63,64,63,62
216005,60,51,41,51,52,44,51,47
216011,54,46,41,45,43,44,40,40
216012,62,46,60,55,57,57,62,54
216017,58,55,57,63,43,57,63,55
216041,62,55,57,61,43,61,63,55
216044,69,51,67,55,52,44,60,54
216051,53,51,53,51,57,57,62,53
383039,41,80,77,80,80,80,77,80
383040,40,40,41,42,43,44,40,40
383041,40,40,41,42,43,44,40,40
383042,53,55,60,58,59,53,62,57
383043,41,58,41,55,43,44,51,48
