IDNumber,data,Age,Gender,ParentHighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0017,q0019,q0020,q0023,q0024,q0025,q0026,q0027,q0028,q0030,q0031,q0032,q0033,q0035,q0036,q0037,q0038,q0040,q0041,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0052,q0053,q0054,q0055,q0058,q0059,q0061,q0062,q0063,q0064,q0065,q0067,q0068,q0070,q0072,q0073,q0074,q0075,q0076,q0077,q0079,q0081,q0082,q0083,q0084,q0085,q0086,q0087,q0088,q0089,q0091,q0093,q0094,q0095,q0096,q0098,q0099,q0101,q0102,q0103,q0105,q0107,q0108,q0110,q0111,q0112,q0113,q0114,q0116,q0118,q0119,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
318130,Sp,4,Female,Did not complete high school (no diploma),Hispanic,midwest,3,3,2,2,2,1,2,1,1,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 to 4 years,118,19,31,29,26,11,11,10,10
366007,Sp,3,Male,Bachelor's degree or higher,Hispanic,south,2,2,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2 to 4 years,75,20,12,18,12,11,10,12,12
369004,Sp,5,Male,Did not complete high school (no diploma),Hispanic,west,1,2,2,1,1,1,2,1,1,2,4,2,1,2,3,3,1,4,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,3,2,2,2,1,2,2,2,2,2,2,3,1,3,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,5 years,101,14,23,14,14,17,21,12,12
369006,Sp,2,Female,Some college or associate degree,Hispanic,west,3,2,3,3,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,3,2,4,1,1,2,1,1,2,2,1,3,2,1,1,1,1,1,1,1,2,3,4,2,2,3,3,3,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,3,3,1,2 to 4 years,94,21,12,13,19,14,24,12,19
369010,Sp,4,Female,Bachelor's degree or higher,Hispanic,west,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2 to 4 years,70,12,12,10,11,12,11,14,10
362028,Sp,3,Female,High school graduate (including GED),Hispanic,south,2,2,2,3,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2 to 4 years,71,18,13,13,10,12,13,10,13
362033,Sp,3,Female,High school graduate (including GED),Hispanic,south,2,1,3,1,2,3,1,1,2,3,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2 to 4 years,91,19,19,16,12,14,16,14,12
369011,Sp,3,Female,Bachelor's degree or higher,Hispanic,west,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2 to 4 years,77,17,17,13,13,10,13,11,15
362035,Sp,4,Male,High school graduate (including GED),Hispanic,west,1,3,2,2,2,2,3,3,3,3,3,1,1,2,1,3,3,2,2,2,2,2,3,2,2,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2 to 4 years,90,24,20,20,12,14,11,13,13
362041,Sp,2,Female,Bachelor's degree or higher,Hispanic,south,2,3,3,2,3,3,2,2,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,3,1,2,1,1,1,2,1,2,2,2,2,1,2,2,3,4,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,3,2,2,2,2 to 4 years,91,26,11,15,14,15,22,14,18
